excelRow,id,no,town,creek,point,landmark,matched,slide,score,image,title
49,row-49,52,卑南鄉,東縣DF047野溪,東縣DF047潛勢溪流溢流點(BD01),舊班鳩溪上游,YES,77,75,slides/row-49-no-52-slide-077.webp,DF047( 編號 52) 舊班鳩溪上游 勘查日期： 2025/6/16 114 年檢視情形 3.7m 8.4m 下游 S
50,row-50,52.1,卑南鄉,東縣DF047野溪,東縣DF047潛勢溪流溢流點(CD01),舊班鳩溪(3孔箱涵上游),YES,78,75,slides/row-50-no-52.1-slide-078.webp,DF047( 編號 52.1) 舊班鳩溪 (3 孔箱涵上游 ) 勘查日期： 2025/6/16 114 年檢視情形 3.2m
51,row-51,56,卑南鄉,東縣DF051野溪,東縣DF051潛勢溪流溢流點(BD01),太平坑上游過水路面,YES,82,75,slides/row-51-no-56-slide-082.webp,DF051( 編號 56) 太平坑上游過水路面 勘查日期： 2025/6/16 114 年檢視情形 1.9m 7.2m 下游 S
52,row-52,56.1,卑南鄉,東縣DF051野溪,東縣DF051潛勢溪流溢流點(CD01),魯瓦南橋,YES,83,75,slides/row-52-no-56.1-slide-083.webp,"TWD97 ： 256808, 2521800 DF051( 編號 56.1) 魯瓦南橋 勘查日期： 2025/6/16 114 年檢視情形 2.1m"
53,row-53,60,卑南鄉,東縣DF058野溪,東縣DF058潛勢溪流溢流點,玉霖橋(射馬干觀測站),YES,87,75,slides/row-53-no-60-slide-087.webp,DF058( 編號 60) 玉霖橋 ( 射馬干觀測站 ) 勘查日期： 2025/4/26 114 年檢視情形 15.5m
54,row-54,61,卑南鄉,東縣DF059野溪,東縣DF059潛勢溪流溢流點(BD01),鎮樂橋,YES,88,75,slides/row-54-no-61-slide-088.webp,DF059( 編號 61) 鎮樂橋 勘查日期： 2025/4/26 114 年檢視情形 下游 S 淤 =8.3°
55,row-55,61.1,卑南鄉,東縣DF059野溪,東縣DF059潛勢溪流溢流點(BD02),木瓜溪支流上游,YES,89,75,slides/row-55-no-61.1-slide-089.webp,"TWD97 ： 252391, 2513286 DF059( 編號 61.1) 木瓜溪支流上游 勘查日期： 2025/4/26 114 年檢視情形 下游"
56,row-56,62,卑南鄉,東縣DF061野溪,東縣DF061潛勢溪流溢流點,榮橋,YES,90,75,slides/row-56-no-62-slide-090.webp,DF061( 編號 62) 榮橋 勘查日期： 2025/4/26 114 年檢視情形 上游 S 淤 =7.3°
57,row-57,63,卑南鄉,東縣DF063野溪,東縣DF063潛勢溪流溢流點,樂山支橋,YES,91,75,slides/row-57-no-63-slide-091.webp,DF063( 編號 63) 樂山支橋 勘查日期： 2025/4/26 114 年檢視情形 10.4m 下游 S 淤
58,row-58,65,卑南鄉,東縣DF065野溪,東縣DF065潛勢溪流溢流點,藥山橋,YES,93,75,slides/row-58-no-65-slide-093.webp,DF065( 編號 65) 藥山橋 勘查日期： 2025/4/26 114 年檢視情形 10.5m 下游 S 淤
59,row-59,68,卑南鄉,東縣DF068野溪,東縣DF068潛勢溪流溢流點,利吉惡地地質公園,YES,96,75,slides/row-59-no-68-slide-096.webp,DF068( 編號 68) 利吉惡地地質公園 勘查日期： 2025/6/17 114 年檢視情形 下游 S 淤 =6.6°
60,row-60,69,卑南鄉,東縣DF069野溪,東縣DF069潛勢溪流溢流點(BD01),利吉環山路,YES,97,75,slides/row-60-no-69-slide-097.webp,DF069( 編號 69) 利吉環山路 勘查日期： 2025/5/19 114 年檢視情形 下游 上游 S 淤
61,row-61,69.1,卑南鄉,東縣DF069野溪,東縣DF069潛勢溪流溢流點(BD02),利吉環山路,YES,98,75,slides/row-61-no-69.1-slide-098.webp,"TWD97 ： 266021, 2528853 DF069( 編號 69.1) 利吉環山路 勘查日期： 2025/6/17 114 年檢視情形 下游"
