excelRow,id,no,town,creek,point,landmark,matched,slide,score,image,title
85,row-85,103,金峰鄉,東縣DF081野溪,東縣DF081潛勢溪流溢流點,賓茂橋,YES,142,75,slides/row-85-no-103-slide-142.webp,DF081( 編號 103) 賓茂橋 勘查日期： 2025/3/30 114 年檢視情形 下游 S 淤 =8°
86,row-86,104,金峰鄉,東縣DF082野溪,東縣DF082潛勢溪流溢流點,佳崙溪,YES,143,75,slides/row-86-no-104-slide-143.webp,"DF082 ( 編號 104) 佳崙溪 勘查日期： 2025/5/19 114 年檢視情形 TWD97 ： 249965,2500617 圖例"
87,row-87,105,金峰鄉,金崙溪上游重大溪段,巴拉奧橋,巴拉奧橋,YES,144,105,slides/row-87-no-105-slide-144.webp,"金崙溪上游重大溪段 ( 編號 105) 巴拉奧橋 勘查日期： 2025/3/30 114 年檢視情形 TWD97 ： 241625,2491005"
88,row-88,106,金峰鄉,金崙溪歷坵段重大溪段,魯拉克斯吊橋,魯拉克斯橋,YES,145,105,slides/row-88-no-106-slide-145.webp,"金崙溪歷坵段重大溪段 ( 編號 106) 魯拉克斯橋 勘查日期： 2025/3/30 114 年檢視情形 TWD97 ： 241625,2491005"
89,row-89,107,金峰鄉,庫濃野溪重大溪段,金峰橋庫濃溪,金峰橋,YES,146,75,slides/row-89-no-107-slide-146.webp,庫濃溪重大溪段 ( 編號 107) 金峰橋 勘查日期： 2025/3/30 114 年檢視情形 集水區 面積 (ha)
90,row-90,108,金峰鄉,太麻里溪重大溪段,拉冷冷橋,拉冷冷橋,YES,147,85,slides/row-90-no-108-slide-147.webp,太麻里重大溪段 ( 編號 108) 拉冷冷橋 勘查日期： 2025/3/30 114 年檢視情形 上游 下游 集水區面積
91,row-91,109,長濱鄉,東縣DF162野溪,東縣DF162潛勢溪流溢流點,忠勇橋,YES,149,75,slides/row-91-no-109-slide-149.webp,DF162( 編號 109) 忠勇橋 勘查日期： 2025/4/27 114 年檢視情形 下游 上游 12.5m 4m
92,row-92,111,海端鄉,東縣DF004野溪,東縣DF004潛勢溪流溢流點,,YES,152,60,slides/row-92-no-111-slide-152.webp,DF004( 編號 111) 霧鹿砲台公園 勘查日期： 2025/6/17 114 年檢視情形 4.5m 下游 上游 1.6m
93,row-93,112,海端鄉,東縣DF012野溪,東縣DF012潛勢溪流溢流點,初來國小新武分校,YES,153,75,slides/row-93-no-112-slide-153.webp,DF012( 編號 112) 初來國小新武分校 勘查日期： 2025/6/17 114 年檢視情形 4.8m 1.8m 圖例 構造物
94,row-94,113,海端鄉,東縣DF013野溪,東縣DF013潛勢溪流溢流點,海端橋,YES,154,75,slides/row-94-no-113-slide-154.webp,DF013( 編號 113) 海端橋 勘查日期： 2025/6/17 114 年檢視情形 27m 下游 上游 3m
95,row-95,114,海端鄉,東縣DF014野溪,東縣DF014潛勢溪流溢流點,壠下橋,YES,155,75,slides/row-95-no-114-slide-155.webp,DF014( 編號 114) 壠下橋 勘查日期： 2025/6/17 114 年檢視情形 3m 下游 上游 25m
96,row-96,120,海端鄉,加鹿溪重大溪段,加樂橋上游防砂壩,加樂橋,YES,163,95,slides/row-96-no-120-slide-163.webp,加 鹿溪重大溪段 ( 編號 120) 加樂橋 勘查日期： 2025/6/25 114 年檢視情形 下游 S
97,row-97,121,鹿野鄉,東縣DF024野溪,東縣DF024潛勢溪流溢流點,關山圳第17支線,YES,165,75,slides/row-97-no-121-slide-165.webp,DF024( 編號 121) 關山圳第 17 支線 勘查日期： 2025/6/25 114 年檢視情形 圖例 構造物
98,row-98,122,鹿野鄉,東縣DF025野溪,東縣DF025潛勢溪流溢流點,,YES,166,60,slides/row-98-no-122-slide-166.webp,DF025( 編號 122) 慈懷園禮儀社 勘查日期： 2025/6/25 114 年檢視情形 下游 上游 圖例 構造物
99,row-99,123,鹿野鄉,東縣DF026野溪,東縣DF026潛勢溪流溢流點,寶華野溪,YES,167,75,slides/row-99-no-123-slide-167.webp,DF026( 編號 123) 寶華野溪 勘查日期： 2025/6/17 114 年檢視情形 10.4m 下游 上游 2m
100,row-100,125,達仁鄉,東縣DF087野溪,東縣DF087潛勢溪流溢流點,土坂三號橋上游,YES,170,75,slides/row-100-no-125-slide-170.webp,DF087( 編號 125) 土坂三號橋上游 勘查日期： 2025/3/29 114 年檢視情形 上游 圖例 構造物 土石流潛勢溪流
101,row-101,127,達仁鄉,東縣DF089野溪,東縣DF089潛勢溪流溢流點,南田二號橋,YES,172,75,slides/row-101-no-127-slide-172.webp,DF089( 編號 127) 南田二號橋 勘查日期： 2025/6/17 114 年檢視情形 下游 S 淤 =6.3°
102,row-102,128,達仁鄉,東縣DF090野溪,東縣DF090潛勢溪流溢流點(CD01),達仁鄉公所(左後方),YES,173,60,slides/row-102-no-128-slide-173.webp,DF090( 編號 128) 達仁鄉公所 勘查日期： 2025/6/17 114 年檢視情形 下游 S 淤 =4.7°
103,row-103,128.1,達仁鄉,東縣DF090野溪,東縣DF090潛勢溪流溢流點(CD02),達仁鄉公所(後方),YES,174,60,slides/row-103-no-128.1-slide-174.webp,DF090( 編號 128.1) 達仁鄉公所 勘查日期： 2025/6/17 114 年檢視情形 下游 上游 3.5m 0.7m
104,row-104,128.2,達仁鄉,東縣DF090野溪,東縣DF090潛勢溪流溢流點(CD03),安朔部落上方,YES,175,60,slides/row-104-no-128.2-slide-175.webp,DF090( 編號 128.2) 達仁鄉公所 勘查日期： 2025/6/17 114 年檢視情形 下游 S 淤 =4.5°
105,row-105,128.3,達仁鄉,東縣DF090野溪,東縣DF090潛勢溪流溢流點(CD04),安朔部落上方,YES,176,75,slides/row-105-no-128.3-slide-176.webp,東縣 DF090 東縣 DF090 東縣 DF090 DF090( 編號 128.3) 安朔部落上方 勘查日期： 2025/6/17
106,row-106,128.4,達仁鄉,東縣DF090野溪,東縣DF090潛勢溪流溢流點(CD05),阿盟衛溪支流,YES,177,60,slides/row-106-no-128.4-slide-177.webp,東縣 DF090 東縣 DF090 東縣 DF090 DF090( 編號 128.4) 安朔部落上方 勘查日期： 2025/6/17
107,row-107,129,達仁鄉,台坂溪重大溪段,台坂溪土坂一號橋,台坂溪土坂一號橋,YES,178,80,slides/row-107-no-129-slide-178.webp,台坂溪重大溪段 ( 編號 129) 土坂一號橋 勘查日期： 2025/3/29 114 年檢視情形 上游 圖例 構造物
108,row-108,130,達仁鄉,台坂溪上游重大溪段,台坂橋,台坂橋,YES,179,105,slides/row-108-no-130-slide-179.webp,台坂溪上游重大溪段 ( 編號 130) 台坂橋 勘查日期： 2025/3/29 114 年檢視情形 上游 圖例 構造物
109,row-109,131,達仁鄉,大竹溪重大溪段,新興橋界點,新興吊橋,YES,180,80,slides/row-109-no-131-slide-180.webp,大竹溪重大溪段 ( 編號 131) 新興橋 勘查日期： 2025/3/29 114 年檢視情形 上游 圖例 構造物
110,row-110,132,達仁鄉,大竹溪芭葩菈苒橋上游重大溪段,芭葩菈苒橋,芭葩菈苒橋,YES,181,105,slides/row-110-no-132-slide-181.webp,勘查日期： 2025/3/29 大竹溪芭葩菈苒橋上游重大溪段 ( 編號 132) 芭葩菈苒橋 114 年檢視情形 上游 圖例 構造物
111,row-111,133,達仁鄉,新興野溪重大溪段,新興橋,新興橋,YES,182,105,slides/row-111-no-133-slide-182.webp,勘查日期： 2025/3/29 114 年檢視情形 上游 圖例 構造物 土石流潛勢溪流 土石流影響範圍 集水區面積 (ha) 670
112,row-112,134,臺東市,東縣DF127野溪,東縣DF127潛勢溪流溢流點,,YES,184,60,slides/row-112-no-134-slide-184.webp,DF127( 編號 134) 岩灣國小 勘查日期： 2025/6/16 114 年檢視情形 3.5m 6.9m 下游 S
113,row-113,135,臺東市,東縣DF128野溪,東縣DF128潛勢溪流溢流點,蘇巴陽活動中心,YES,185,75,slides/row-113-no-135-slide-185.webp,DF128( 編號 135) 蘇巴陽活動中心 勘查日期： 2025/4/26 114 年檢視情形 0.9m 1.2m 下游 S
114,row-114,139,關山鎮,東縣DF022野溪,東縣DF022潛勢溪流溢流點,山富福德宮,YES,190,75,slides/row-114-no-139-slide-190.webp,DF022( 編號 139) 山富福德宮 勘查日期： 2025/6/25 114 年檢視情形 下游 S 淤 =8°
115,row-115,140,關山鎮,東縣DF023野溪,東縣DF023潛勢溪流溢流點,,YES,191,60,slides/row-115-no-140-slide-191.webp,DF023( 編號 140) 山順排水 勘查日期： 2025/6/25 114 年檢視情形 下游 S 淤 =1°
